Player Names,Player BWF Link,Singles Wins,Singles Losses,Singles Prize Money,Doubles Wins,Doubles Losses,Doubles Prize Money,Mixed Wins,Mixed Losses,Mixed Prize Money,Total Money,Career Wins,Career Losses
Crystal Leefmans,https://bwfbadminton.com/player/84728/crystal-leefmans,9,14,0,11,11,980,25,15,0,1065,45,40
Sanicha Chumnibannakarn,https://bwfbadminton.com/player/67641/sanicha-chumnibannakarn,0,0,0,29,31,608,16,9,36,729,45,40
Prince Dahal,https://bwfbadminton.com/player/90978/prince-dahal,31,18,145,8,15,36,3,7,0,263,42,40
Minh Quang Pham,https://bwfbadminton.com/player/91987/minh-quang-pham,4,9,0,19,16,0,17,15,0,80,40,40
Sarah Sidebottom,https://bwfbadminton.com/player/99217/sarah-sidebottom,3,6,0,23,20,141,11,14,0,218,37,40
Jose Luis Granados Morales,https://bwfbadminton.com/player/99858/jose-luis-granados-morales,16,15,0,8,14,0,12,11,120,196,36,40
Omar Zeeshan,https://bwfbadminton.com/player/50027/omar-zeeshan,20,21,0,16,18,0,0,1,0,76,36,40
Jorge Rodriguez,https://bwfbadminton.com/player/57668/jorge-rodriguez,25,27,0,5,9,0,2,4,0,72,32,40
Julian Blaumoser,https://bwfbadminton.com/player/62268/julian-blaumoser,10,15,0,9,13,0,12,12,0,71,31,40
Jemimah Leung For Sang,https://bwfbadminton.com/player/94256/jemimah-leung-for-sang,7,14,0,7,14,66,16,12,47,183,30,40
Mia Sejr Nielsen,https://bwfbadminton.com/player/53756/mia-sejr-nielsen,14,19,0,5,17,0,10,4,0,69,29,40
David Salutt,https://bwfbadminton.com/player/65649/david-salutt,9,12,0,15,23,0,2,5,0,66,26,40
Chloé Segrestan,https://bwfbadminton.com/player/91783/chloe-segrestan,8,14,61,9,14,73,8,12,0,199,25,40
Sararat Chueboca,https://bwfbadminton.com/player/75836/sararat-chueboca,5,10,35,14,21,46,5,9,98,243,24,40
Victor Liew,https://bwfbadminton.com/player/78790/victor-liew,1,4,0,18,30,1001,3,6,0,1063,22,40
Viky Anindita,https://bwfbadminton.com/player/69331/viky-anindita,12,25,0,9,14,0,1,1,0,62,22,40
Lucie Metzová,https://bwfbadminton.com/player/99084/lucie-metzova,5,14,0,5,14,0,12,12,0,62,22,40
Anton Tjulin,https://bwfbadminton.com/player/62041/anton-tjulin,10,19,0,9,17,0,3,4,0,62,22,40
Sam Van Den Broeck,https://bwfbadminton.com/player/72836/sam-van-den-broeck,6,11,0,15,26,0,1,3,0,62,22,40
Tim Fischer,https://bwfbadminton.com/player/99152/tim-fischer,1,5,0,12,21,0,8,14,0,61,21,40
Lina Taft,https://bwfbadminton.com/player/11711/lina-taft,1,5,0,6,13,93,13,22,124,277,20,40
Chacharit Yaowanit,https://bwfbadminton.com/player/87858/chacharit-yaowanit,12,26,60,2,7,28,6,7,73,221,20,40
Airah Mae Nicole Albo,https://bwfbadminton.com/player/64080/airah-mae-nicole-albo,17,28,53,3,11,0,0,1,0,113,20,40
Simon Sandin,https://bwfbadminton.com/player/62321/simon-sandin,9,15,0,3,16,0,7,9,0,59,19,40
Erin Waddell,https://bwfbadminton.com/player/91337/erin-waddell,7,13,0,3,13,0,9,14,0,59,19,40
Alicia Molitor,https://bwfbadminton.com/player/87987/alicia-molitor,10,16,0,5,17,141,3,7,0,199,18,40
Basia Grodynska,https://bwfbadminton.com/player/72384/basia-grodynska,9,14,0,5,13,0,4,13,0,58,18,40
Lucia Vojtekova,https://bwfbadminton.com/player/95781/lucia-vojtekova,1,4,0,9,21,0,8,15,0,58,18,40
Shinsai Deslauriers,https://bwfbadminton.com/player/74457/shinsai-deslauriers,13,23,0,2,16,0,2,1,0,57,17,40
Delphine Nakanyika,https://bwfbadminton.com/player/42678/delphine-nakanyika,4,15,0,9,14,41,3,11,14,111,16,40
Flurin Furrer,https://bwfbadminton.com/player/66629/flurin-furrer,13,26,0,3,13,0,0,1,0,56,16,40
Karla Henry,https://bwfbadminton.com/player/97482/karla-henry,7,15,0,4,12,0,5,13,0,56,16,40
Victor Alcaide,https://bwfbadminton.com/player/90091/victor-alcaide,10,22,0,5,18,0,0,0,0,55,15,40
Kevin Hargiono,https://bwfbadminton.com/player/85344/kevin-hargiono,9,22,0,5,13,0,1,5,0,55,15,40
Erik Bartos,https://bwfbadminton.com/player/92604/erik-bartos,7,14,0,2,11,0,5,15,0,54,14,40
Victoria Korobova,https://bwfbadminton.com/player/72649/victoria-korobova,3,16,0,6,15,0,5,9,0,54,14,40
Nabin Shrestha,https://bwfbadminton.com/player/61659/nabin-shrestha,7,17,60,5,14,147,1,9,69,329,13,40
Isaac Senfuka,https://bwfbadminton.com/player/98457/isaac-senfuka,2,14,0,9,16,0,2,10,0,53,13,40
Moosa Aminath Shahurunaz,https://bwfbadminton.com/player/81991/moosa-aminath-shahurunaz,6,17,105,1,15,212,3,8,109,476,10,40
Rauhiri Goguenheim,https://bwfbadminton.com/player/90987/rauhiri-goguenheim,1,11,0,9,23,92,0,6,0,142,10,40
Sajan Krishna Tamrakar,https://bwfbadminton.com/player/4252/sajan-krishna-tamrakar,5,22,39,0,15,56,0,3,94,234,5,40
Hok Man Lou,https://bwfbadminton.com/player/65604/hok-man-lou,2,15,0,0,12,0,0,13,0,42,2,40
Ye Hong Wei,https://bwfbadminton.com/player/81108/ye-hong-wei,4,9,0,66,19,5483,30,11,483,6105,100,39
Mohammadreza Kheradmandi,https://bwfbadminton.com/player/52166/mohammadreza-kheradmandi,65,25,2985,30,14,1441,0,0,0,4560,95,39
Mikolaj Wrzalik,https://bwfbadminton.com/player/84721/mikolaj-wrzalik,1,2,0,42,18,0,29,19,0,111,72,39
Sylvain Ternon,https://bwfbadminton.com/player/67067/sylvain-ternon,59,31,0,8,7,0,0,1,0,106,67,39
Bartosz Galazka,https://bwfbadminton.com/player/89116/bartosz-galazka,19,15,0,36,13,0,9,11,0,103,64,39
Lu Guang Zu,https://bwfbadminton.com/player/77427/lu-guang-zu,62,39,63338,0,0,0,0,0,0,63439,62,39
Nanthakarn Yordphaisong,https://bwfbadminton.com/player/77912/nanthakarn-yordphaisong,3,4,0,57,33,7477,2,2,258,7836,62,39
Lui Lok Lok,https://bwfbadminton.com/player/87893/lui-lok-lok,11,14,0,33,18,0,18,7,0,101,62,39
Talar Laa,https://bwfbadminton.com/player/67508/talar-laa,53,32,0,7,6,0,0,1,0,99,60,39
Mahbub Thomi Azizan,https://bwfbadminton.com/player/62187/mahbub-thomi-azizan,58,39,1210,0,0,0,0,0,0,1307,58,39
Zhou Ze Qi,https://bwfbadminton.com/player/91093/zhou-ze-qi,54,38,16990,2,1,0,0,0,0,17085,56,39
Yaqueline Duarte,https://bwfbadminton.com/player/82210/yaqueline-duarte,29,19,100,15,10,216,10,10,0,409,54,39
Karnphop Atthaviroj,https://bwfbadminton.com/player/89086/karnphop-atthaviroj,44,29,121,10,9,0,0,1,0,214,54,39
Florentine Schöffski,https://bwfbadminton.com/player/74337/florentine-schOeffski,29,17,0,21,17,0,4,5,0,93,54,39
Marion Le Turdu,https://bwfbadminton.com/player/95045/marion-le-turdu,26,18,0,15,13,281,11,8,0,372,52,39
Umana Ruiz Mario,https://bwfbadminton.com/player/69987/umana-ruiz-mario,21,14,53,18,14,0,12,11,56,199,51,39
Colin Hammarberg,https://bwfbadminton.com/player/77847/colin-hammarberg,42,30,0,9,9,0,0,0,0,90,51,39
Siddharth Pratap Singh,https://bwfbadminton.com/player/99595/siddharth-pratap-singh,48,37,3434,0,2,0,0,0,0,3521,48,39
Julia Tuvesson,https://bwfbadminton.com/player/59246/julia-tuvesson,21,17,0,19,15,0,5,7,0,84,45,39
Kittipak Dubthuk,https://bwfbadminton.com/player/81168/kittipak-dubthuk,1,1,18,24,20,4039,18,18,1233,5372,43,39
Georgiy Natarov,https://bwfbadminton.com/player/39410/georgiy-natarov,0,1,0,22,21,625,21,17,275,982,43,39
Tereza Kobyláková,https://bwfbadminton.com/player/86580/tereza-kobylakova,28,17,0,10,14,0,4,8,0,81,42,39
Jun Bong Chan,https://bwfbadminton.com/player/65425/jun-bong-chan,2,1,0,28,23,2526,10,15,122,2727,40,39
Prashi Joshi,https://bwfbadminton.com/player/99019/prashi-joshi,39,39,934,0,0,0,0,0,0,1012,39,39
Low Hang Yee,https://bwfbadminton.com/player/61834/low-hang-yee,0,1,0,25,26,1085,13,12,260,1422,38,39
Ramazan Tekdemi̇r,https://bwfbadminton.com/player/83583/ramazan-tekdem%C4%B0r,18,19,0,17,20,0,0,0,0,74,35,39
Alexander Verner,https://bwfbadminton.com/player/70817/alexander-verner,9,16,0,15,15,0,11,8,0,74,35,39
Ming Hui Lim,https://bwfbadminton.com/player/67745/ming-hui-lim,11,12,0,18,22,1309,5,5,38,1420,34,39
Ng Qi Xuan,https://bwfbadminton.com/player/82516/ng-qi-xuan,10,12,0,15,18,257,9,9,378,708,34,39
Jana Adamkova,https://bwfbadminton.com/player/71684/jana-adamkova,27,29,0,0,2,0,7,8,0,73,34,39
Maria De La O Perez,https://bwfbadminton.com/player/87698/maria-de-la-o-perez,16,16,0,5,11,0,11,12,0,71,32,39
Dong Wen Jing,https://bwfbadminton.com/player/64949/dong-wen-jing,1,1,0,29,35,17962,0,3,0,18031,30,39
Cheng Yu-Pei,https://bwfbadminton.com/player/67789/cheng-yu-pei,0,3,0,22,23,1525,7,13,62,1655,29,39
. Siswanto,https://bwfbadminton.com/player/2111/siswanto,22,30,538,7,8,0,0,1,0,606,29,39
Theresa Isenberg,https://bwfbadminton.com/player/70420/theresa-isenberg,14,18,0,14,19,141,0,2,0,208,28,39
Miguel Barbado,https://bwfbadminton.com/player/59015/miguel-barbado,19,26,0,3,5,0,6,8,0,67,28,39
Aaron Cheng,https://bwfbadminton.com/player/92803/aaron-cheng,15,12,0,10,20,0,3,7,0,67,28,39
Anna Demmelmayer,https://bwfbadminton.com/player/84097/anna-demmelmayer,10,16,0,8,12,0,9,11,0,66,27,39
Johanna Höfle,https://bwfbadminton.com/player/57715/johanna-hOefle,8,15,0,8,16,0,11,8,0,66,27,39
Tabea Tirschmann,https://bwfbadminton.com/player/68068/tabea-tirschmann,4,8,0,11,16,0,12,15,0,66,27,39
Serkan Ugurlu,https://bwfbadminton.com/player/95456/serkan-ugurlu,4,12,0,19,22,0,4,5,0,66,27,39
Yaroslav Egerev,https://bwfbadminton.com/player/42490/yaroslav-egerev,7,14,0,11,16,275,7,9,0,339,25,39
Katarina Csonkova,https://bwfbadminton.com/player/77489/katarina-csonkova,8,13,0,7,12,0,9,14,0,63,24,39
Ants Mängel,https://bwfbadminton.com/player/51529/ants-mAengel,0,3,0,16,19,0,8,17,0,63,24,39
Max Svensson,https://bwfbadminton.com/player/75417/max-svensson,10,13,0,5,13,0,9,13,0,63,24,39
Narayan Ramdhani,https://bwfbadminton.com/player/82804/narayan-ramdhani,10,17,0,6,14,0,7,8,0,62,23,39
Liisa-Lotta Tannik,https://bwfbadminton.com/player/83520/liisa-lotta-tannik,6,13,0,11,18,0,6,8,0,62,23,39
Aminath Nabeeha Abdul Razzaq,https://bwfbadminton.com/player/77393/aminath-nabeeha-abdul-razzaq,5,16,148,14,18,725,3,5,19,953,22,39
Fatima Beatriz Centeno Fuentes,https://bwfbadminton.com/player/61443/fatima-beatriz-centeno-fuentes,8,16,0,3,11,0,10,12,0,60,21,39
Alice Lindhe,https://bwfbadminton.com/player/94556/alice-lindhe,4,15,0,11,10,0,6,14,0,60,21,39
Simon Skok,https://bwfbadminton.com/player/55761/simon-skok,2,13,0,5,14,0,13,12,0,59,20,39
Ulf Svensson,https://bwfbadminton.com/player/2923/ulf-svensson,11,16,0,4,13,0,4,10,83,141,19,39
Przernystaw Urban,https://bwfbadminton.com/player/78444/przernystaw-urban,8,15,0,11,17,0,0,7,0,58,19,39
Vladimir Shipilenko,https://bwfbadminton.com/player/72240/vladimir-shipilenko,7,14,0,7,14,337,3,11,197,590,17,39
Pavla Drapacova,https://bwfbadminton.com/player/73800/pavla-drapacova,5,13,0,5,13,0,5,13,0,54,15,39
Vimla Phongasavithas,https://bwfbadminton.com/player/55439/vimla-phongasavithas,4,12,420,7,21,1194,3,6,148,1815,14,39
Panita Phongasavithas,https://bwfbadminton.com/player/53477/panita-phongasavithas,3,4,53,8,26,1205,2,9,225,1535,13,39
Marlene Wåland,https://bwfbadminton.com/player/64948/marlene-w%C3%85land,8,19,0,2,14,94,2,6,0,145,12,39
Filip Jagar,https://bwfbadminton.com/player/91139/filip-jagar,6,15,0,4,12,0,2,12,0,51,12,39
Kelly Stern,https://bwfbadminton.com/player/25844/kelly-stern,6,21,109,3,9,37,2,9,24,220,11,39
Sarah Molodet,https://bwfbadminton.com/player/64073/sarah-molodet,4,13,0,3,13,0,4,13,0,50,11,39
Leong Iok Chong,https://bwfbadminton.com/player/86167/leong-iok-chong,0,2,0,5,22,83,4,15,47,178,9,39
Natalie Herbst,https://bwfbadminton.com/player/86858/natalie-herbst,3,16,0,5,15,0,1,8,0,48,9,39
Borna Drvodelic,https://bwfbadminton.com/player/58694/borna-drvodelic,3,16,0,2,13,0,3,10,0,47,8,39
Teresa Lopes,https://bwfbadminton.com/player/70962/teresa-lopes,0,16,0,3,12,0,4,11,0,46,7,39
Diana Stognija,https://bwfbadminton.com/player/69464/diana-stognija,2,21,0,2,14,0,0,4,0,43,4,39
Camila Nolasco,https://bwfbadminton.com/player/51812/camila-nolasco,2,18,4769,1,14,1750,0,7,21,6582,3,39
Mihajlo Tomic,https://bwfbadminton.com/player/63161/mihajlo-tomic,8,4,0,70,18,0,68,16,0,184,146,38
Ditlev Jaeger Holm,https://bwfbadminton.com/player/90130/ditlev-jaeger-holm,105,36,2790,8,2,395,5,0,0,3341,118,38
Sun Fei Xiang,https://bwfbadminton.com/player/57762/sun-fei-xiang,109,38,23203,0,0,0,0,0,0,23350,109,38
Wang Chang,https://bwfbadminton.com/player/55414/wang-chang,0,0,0,94,32,11347,12,6,0,11491,106,38
Kasper Dinesen,https://bwfbadminton.com/player/78813/kasper-dinesen,70,28,1480,12,8,0,4,2,0,1604,86,38
Hyang Im Kim,https://bwfbadminton.com/player/81749/hyang-im-kim,22,15,5140,31,14,1125,23,9,0,6379,76,38
Patrick Bjerregaard,https://bwfbadminton.com/player/95604/patrick-bjerregaard,59,25,1900,16,12,0,0,1,0,2013,75,38
Hermansah .,https://bwfbadminton.com/player/71211/hermansah,62,26,2558,12,12,323,0,0,0,2993,74,38
Han Li,https://bwfbadminton.com/player/78288/han-li,71,37,79550,0,1,0,0,0,0,79659,71,38
Yaro Van Delsen,https://bwfbadminton.com/player/98443/yaro-van-delsen,37,18,0,28,20,0,0,0,0,103,65,38
Kittipong Imnark,https://bwfbadminton.com/player/91073/kittipong-imnark,53,33,184,1,1,0,8,4,36,320,62,38
Wu Guan Xun,https://bwfbadminton.com/player/99841/wu-guan-xun,1,8,0,42,18,350,18,12,0,449,61,38
Mathias Weber Estrup,https://bwfbadminton.com/player/95050/mathias-weber-estrup,15,6,0,29,19,0,12,13,0,94,56,38
Sirawit Sothon,https://bwfbadminton.com/player/50238/sirawit-sothon,0,0,0,27,20,66,28,18,47,206,55,38
Yeung Pui Lam,https://bwfbadminton.com/player/75864/yeung-pui-lam,4,8,0,16,16,0,34,14,0,92,54,38
Swarnaraj Bora,https://bwfbadminton.com/player/70381/swarnaraj-bora,34,23,450,18,15,1116,0,0,0,1656,52,38
Jarne Schlevoigt,https://bwfbadminton.com/player/84900/jarne-schlevoigt,4,11,0,18,14,0,30,13,0,90,52,38
Anastasia Nesterova,https://bwfbadminton.com/player/56330/anastasia-nesterova,20,13,0,13,13,35,15,12,9,130,48,38
Rei Sato,https://bwfbadminton.com/player/97931/rei-sato,32,22,1535,15,16,829,0,0,0,2449,47,38
Tamisha Williams,https://bwfbadminton.com/player/72058/tamisha-williams,20,16,240,14,9,816,13,13,120,1261,47,38
Aymeric Tores,https://bwfbadminton.com/player/88871/aymeric-tores,11,12,0,19,15,0,17,11,0,85,47,38
Alvaro Leal,https://bwfbadminton.com/player/83155/alvaro-leal,26,18,0,0,0,0,19,20,0,83,45,38
Igor Pushkarev,https://bwfbadminton.com/player/50286/igor-pushkarev,24,15,0,12,13,0,9,10,0,83,45,38
Matthias Schnabel,https://bwfbadminton.com/player/59397/matthias-schnabel,7,14,0,28,17,0,10,7,0,83,45,38
Rafiddias Akhdan Nugroho,https://bwfbadminton.com/player/65925/rafiddias-akhdan-nugroho,0,0,0,11,13,82,33,25,1304,1468,44,38
Cecilia Bjuner,https://bwfbadminton.com/player/51662/cecilia-bjuner,4,4,0,14,20,0,26,14,0,82,44,38
David Hong,https://bwfbadminton.com/player/66002/david-hong,0,1,0,19,18,0,25,19,0,82,44,38
C. Rohit Yadav,https://bwfbadminton.com/player/91072/c-rohit-yadav,41,36,953,2,2,0,0,0,0,1034,43,38
Vojtěch Lapáček,https://bwfbadminton.com/player/93480/vojt%C4%9Bch-lapa%C4%8Cek,15,16,0,15,14,0,13,8,0,81,43,38
Meirisa Cindy Sahputri,https://bwfbadminton.com/player/61489/meirisa-cindy-sahputri,0,1,0,40,33,4966,2,4,0,5046,42,38
Mohamad Reza Khanjani,https://bwfbadminton.com/player/76058/mohamad-reza-khanjani,21,18,248,20,20,1241,0,0,0,1568,41,38
Kanyanat Sudchoeichom,https://bwfbadminton.com/player/90399/kanyanat-sudchoeichom,11,11,0,22,18,190,8,9,190,459,41,38
Pattaranan Chamnaktan,https://bwfbadminton.com/player/92123/pattaranan-chamnaktan,0,0,0,33,30,481,1,8,47,600,34,38
Chow Hin Long,https://bwfbadminton.com/player/57049/chow-hin-long,8,10,0,19,18,0,6,10,0,71,33,38
Tung Ciou-Tong,https://bwfbadminton.com/player/61614/tung-ciou-tong,18,18,375,6,11,0,8,9,0,445,32,38
Brigita Marcelia Rumambi,https://bwfbadminton.com/player/71019/brigita-marcelia-rumambi,0,0,0,17,24,399,14,14,351,819,31,38
Surya Della Augustia,https://bwfbadminton.com/player/56145/surya-della-augustia,0,1,0,14,19,472,17,18,164,705,31,38
Phone Pyae Naing,https://bwfbadminton.com/player/83865/phone-pyae-naing,21,25,0,9,12,120,1,1,0,189,31,38
Prasojo Adi Andrianus,https://bwfbadminton.com/player/55547/prasojo-adi-andrianus,23,25,655,7,13,38,0,0,0,761,30,38
Manuel Heumann,https://bwfbadminton.com/player/90760/manuel-heumann,15,14,0,11,17,0,3,7,0,67,29,38
Jason Mann,https://bwfbadminton.com/player/88151/jason-mann,8,11,0,12,15,0,9,12,0,67,29,38
Vandanah Seesurun,https://bwfbadminton.com/player/3485/vandanah-seesurun,10,14,0,12,14,0,7,10,0,67,29,38
Andrej Serov,https://bwfbadminton.com/player/70577/andrej-serov,9,15,0,15,15,0,5,8,0,67,29,38
Liu Shu Chih,https://bwfbadminton.com/player/15528/liu-shu-chih,1,1,0,23,29,2641,4,8,82,2789,28,38
Anastasia Redkina,https://bwfbadminton.com/player/72099/anastasia-redkina,11,13,810,8,11,465,9,14,194,1535,28,38
Tymoteusz Malik,https://bwfbadminton.com/player/70715/tymoteusz-malik,7,14,0,11,13,0,10,11,0,66,28,38
Chen Jia Huo,https://bwfbadminton.com/player/95486/chen-jia-huo,2,3,0,16,30,357,9,5,322,744,27,38
Thomas Moretti,https://bwfbadminton.com/player/46231/thomas-moretti,13,12,0,10,15,0,4,11,0,65,27,38
Sebestyen Nagy,https://bwfbadminton.com/player/65361/sebestyen-nagy,19,20,0,5,13,0,3,5,0,65,27,38
Laia Oset,https://bwfbadminton.com/player/78472/laia-oset,1,1,53,10,22,0,15,15,54,171,26,38
Annika Schreiber,https://bwfbadminton.com/player/72051/annika-schreiber,4,11,0,18,16,0,4,11,0,64,26,38
Blaž Smrkolj,https://bwfbadminton.com/player/72044/bla%C5%BE-smrkolj,9,16,0,7,7,0,9,15,0,63,25,38
Fareeda Loog,https://bwfbadminton.com/player/59842/fareeda-loog,1,7,0,11,17,88,12,14,64,214,24,38
Peder Søvndal,https://bwfbadminton.com/player/63042/peder-s%C3%98vndal,13,23,0,5,10,120,6,5,0,182,24,38
Thanyasuda Wongya,https://bwfbadminton.com/player/98266/thanyasuda-wongya,0,0,0,13,21,414,9,17,573,1047,22,38
Paul Demmelmayer,https://bwfbadminton.com/player/20820/paul-demmelmayer,4,9,0,10,14,0,7,15,0,59,21,38
Wong Kin Yik,https://bwfbadminton.com/player/76356/wong-kin-yik,14,23,0,7,14,0,0,1,0,59,21,38
Sara Hognadottir,https://bwfbadminton.com/player/78983/sara-hognadottir,10,18,0,10,11,0,0,9,0,58,20,38
Irfan Djabar,https://bwfbadminton.com/player/33865/irfan-djabar,7,10,0,8,17,0,4,11,0,57,19,38
Takahiro Hiramatsu,https://bwfbadminton.com/player/53669/takahiro-hiramatsu,18,33,0,0,4,0,0,1,0,56,18,38
Rugshaar Ishaak,https://bwfbadminton.com/player/98108/rugshaar-ishaak,4,14,0,5,9,0,9,15,0,56,18,38
Lukas Kudlac,https://bwfbadminton.com/player/61662/lukas-kudlac,11,15,0,4,12,0,3,11,0,56,18,38
Kerwyn Pantin,https://bwfbadminton.com/player/15590/kerwyn-pantin,6,14,0,8,13,0,4,11,0,56,18,38
Kyriacos Pissis,https://bwfbadminton.com/player/82748/kyriacos-pissis,5,11,0,10,15,0,3,12,0,56,18,38
Lotte Geerts,https://bwfbadminton.com/player/70618/lotte-geerts,8,13,0,7,14,0,2,11,0,55,17,38
Dharshinie Vasigaran,https://bwfbadminton.com/player/99805/dharshinie-vasigaran,4,9,88,3,12,47,9,17,91,280,16,38
Jozsef Mester,https://bwfbadminton.com/player/92668/jozsef-mester,8,19,0,6,14,0,1,5,0,53,15,38
Pugach Alina,https://bwfbadminton.com/player/97775/pugach-alina,3,7,0,5,15,0,5,16,0,51,13,38
Lawrence De Pauw,https://bwfbadminton.com/player/73307/lawrence-de-pauw,3,17,0,10,19,0,0,2,0,51,13,38
Glenn Gowet,https://bwfbadminton.com/player/14749/glenn-gowet,5,16,61,4,16,78,2,6,0,188,11,38
Maisa Fathuhulla Ismail,https://bwfbadminton.com/player/89832/maisa-fathuhulla-ismail,6,17,179,3,10,168,1,11,48,443,10,38
Michal Walentek,https://bwfbadminton.com/player/87478/michal-walentek,6,28,0,2,9,0,2,1,0,48,10,38
Dean Brabec,https://bwfbadminton.com/player/70074/dean-brabec,5,20,0,3,16,0,1,2,0,47,9,38
Karin Maran,https://bwfbadminton.com/player/98715/karin-maran,1,10,0,3,14,0,5,14,0,47,9,38
Rasila Maharjan,https://bwfbadminton.com/player/90039/rasila-maharjan,2,14,35,4,13,120,2,11,0,201,8,38
Kyliam Scilloux,https://bwfbadminton.com/player/56218/kyliam-scilloux,2,13,0,4,15,9,2,10,0,55,8,38
Yannick Feltes,https://bwfbadminton.com/player/59596/yannick-feltes,3,13,0,5,17,0,0,8,0,46,8,38
Maria Marquez Diaz,https://bwfbadminton.com/player/52519/maria-marquez-diaz,0,3,0,3,13,0,4,22,0,45,7,38
Rui Mendes,https://bwfbadminton.com/player/52800/rui-mendes,4,19,0,1,10,0,1,9,0,44,6,38
Chi Leng Kuan,https://bwfbadminton.com/player/90855/chi-leng-kuan,1,11,0,0,21,0,2,6,0,41,3,38
Rafailia Mertzemeki,https://bwfbadminton.com/player/95817/rafailia-mertzemeki,2,24,0,1,8,0,0,6,0,41,3,38
Thorbjorg Kristinsdottir,https://bwfbadminton.com/player/14048/thorbjorg-kristinsdottir,0,14,0,0,15,0,1,9,0,39,1,38
Daniel Marthin,https://bwfbadminton.com/player/84786/daniel-marthin,0,0,0,99,22,2929,38,15,266,3369,137,37
Natsuki Nidaira,https://bwfbadminton.com/player/91896/natsuki-nidaira,121,36,21378,0,1,0,0,0,0,21536,121,37
Febriana Dwipuji Kusuma,https://bwfbadminton.com/player/79664/febriana-dwipuji-kusuma,0,0,0,80,34,5004,8,3,0,5129,88,37
Gao Fang Jie,https://bwfbadminton.com/player/78116/gao-fang-jie,72,36,84158,1,1,94,0,0,0,84362,73,37
Tosin Damilola Atolagbe,https://bwfbadminton.com/player/69899/tosin-damilola-atolagbe,27,16,643,30,15,851,14,6,647,2249,71,37
Kim Na Yeong,https://bwfbadminton.com/player/60908/kim-na-yeong,52,30,9043,4,4,0,10,3,0,9146,66,37
Daniil Dubovenko,https://bwfbadminton.com/player/94119/daniil-dubovenko,7,13,0,39,11,0,19,13,0,102,65,37
Dominik Buetikofer,https://bwfbadminton.com/player/94331/dominik-buetikofer,44,21,0,19,15,0,0,1,0,100,63,37
Philip Seerup,https://bwfbadminton.com/player/65516/philip-seerup,1,1,0,39,25,1780,22,11,0,1879,62,37
Wei Chun Wei,https://bwfbadminton.com/player/74574/wei-chun-wei,8,8,0,42,18,350,10,11,0,447,60,37
Jung Jae Wook,https://bwfbadminton.com/player/66827/jung-jae-wook,18,7,53,24,21,4530,15,9,181,4858,57,37
Aoi Matsuda,https://bwfbadminton.com/player/84120/aoi-matsuda,3,2,0,48,31,10809,1,4,28,10926,52,37
Polina Tkach,https://bwfbadminton.com/player/74398/polina-tkach,12,11,0,18,14,0,22,12,0,89,52,37
Yap Yee,https://bwfbadminton.com/player/75832/yap-yee,29,19,88,14,14,191,8,4,0,367,51,37
Huang Yu-Hsun,https://bwfbadminton.com/player/97685/huang-yu-hsun,31,18,35,11,11,0,9,8,0,123,51,37
Naime Yilmaz,https://bwfbadminton.com/player/79252/naime-yilmaz,31,18,300,9,12,0,10,7,0,387,50,37
Sebastian Bugtrup,https://bwfbadminton.com/player/62891/sebastian-bugtrup,31,21,0,6,6,0,13,10,0,87,50,37
Oktay Aydin,https://bwfbadminton.com/player/91908/oktay-aydin,30,20,0,13,11,0,5,6,0,85,48,37
Romain Eudeline,https://bwfbadminton.com/player/86743/romain-eudeline,41,30,0,7,7,0,0,0,0,85,48,37
Maharani Sekar Batari,https://bwfbadminton.com/player/86412/maharani-sekar-batari,46,37,1128,0,0,0,0,0,0,1211,46,37
Arnaud Genin,https://bwfbadminton.com/player/67062/arnaud-genin,37,32,1095,9,4,0,0,1,28,1206,46,37
Heli Neiman,https://bwfbadminton.com/player/90471/heli-neiman,28,19,0,13,11,0,5,7,0,83,46,37
Justin Seibel,https://bwfbadminton.com/player/97265/justin-seibel,18,15,0,24,17,0,4,5,0,83,46,37
Arthur Boudier,https://bwfbadminton.com/player/62046/arthur-boudier,16,13,0,9,13,0,17,11,0,79,42,37
Gregor Dunikowski,https://bwfbadminton.com/player/56123/gregor-dunikowski,2,4,0,23,19,0,16,14,0,78,41,37
Wei Sheng Loh,https://bwfbadminton.com/player/99682/wei-sheng-loh,34,32,895,5,4,38,0,1,9,1018,39,37
Mirjam Lindgarde,https://bwfbadminton.com/player/75516/mirjam-lindgarde,28,17,0,5,12,0,5,8,0,75,38,37
Edgar Roux,https://bwfbadminton.com/player/96530/edgar-roux,21,16,0,10,15,0,7,6,0,75,38,37
Khabir Teeluck,https://bwfbadminton.com/player/82150/khabir-teeluck,15,14,0,17,13,0,6,10,0,75,38,37
Floriane Nurit,https://bwfbadminton.com/player/78240/floriane-nurit,17,13,0,7,12,0,13,12,0,74,37,37
Yang Yang,https://bwfbadminton.com/player/89309/yang-yang,32,21,0,4,11,0,1,5,0,74,37,37
Daniel Esteban Dieguez Escobar,https://bwfbadminton.com/player/85862/daniel-esteban-dieguez-escobar,17,15,0,10,12,0,9,10,0,73,36,37
Dimitar Delchev,https://bwfbadminton.com/player/10055/dimitar-delchev,19,18,0,10,10,500,3,9,0,569,32,37
Radoslaw Wrobel,https://bwfbadminton.com/player/55906/radoslaw-wrobel,4,4,0,13,16,0,14,17,0,68,31,37
Basak Kilic,https://bwfbadminton.com/player/70406/basak-kilic,13,18,0,13,16,0,4,3,0,67,30,37
