Player Names,Player BWF Link,Singles Wins,Singles Losses,Singles Prize Money,Doubles Wins,Doubles Losses,Doubles Prize Money,Mixed Wins,Mixed Losses,Mixed Prize Money,Total Money,Career Wins,Career Losses
Thomas Rouxel,https://bwfbadminton.com/player/38500/thomas-rouxel,203,172,20353,10,12,159,1,2,28,20940,214,186
Pranaav Jerry Chopra,https://bwfbadminton.com/player/57839/pranaav-jerry-chopra,0,0,0,97,92,16568,89,94,39533,56473,186,186
Ruben Jille,https://bwfbadminton.com/player/93858/ruben-jille,17,15,0,121,97,9118,101,73,2082,11624,239,185
Milan Dratva,https://bwfbadminton.com/player/68819/milan-dratva,84,91,543,39,49,506,37,45,208,1602,160,185
Mingtian Fu,https://bwfbadminton.com/player/53788/mingtian-fu,76,100,0,47,72,0,12,13,0,320,135,185
Zuzana Pavelkova,https://bwfbadminton.com/player/34229/zuzana-pavelkova,72,151,618,11,26,0,2,8,0,888,85,185
Lee So Hee,https://bwfbadminton.com/player/91292/lee-so-hee,9,4,53,337,138,443806,40,42,8860,453289,386,184
Kirsty Gilmour,https://bwfbadminton.com/player/48528/kirsty-gilmour,266,136,102908,68,44,4605,6,4,0,108037,340,184
Shizuka Matsuo,https://bwfbadminton.com/player/55111/shizuka-matsuo,0,0,0,196,115,103002,92,69,17968,121442,288,184
Samantha Barning,https://bwfbadminton.com/player/53833/samantha-barning,2,3,0,126,91,14172,114,90,12333,26931,242,184
Bobby Milroy,https://bwfbadminton.com/player/8151/bobby-milroy,196,159,0,21,21,0,3,4,0,404,220,184
Lea Palermo,https://bwfbadminton.com/player/98329/lea-palermo,9,11,0,103,97,16678,79,76,3862,20915,191,184
Ratchanok Intanon,https://bwfbadminton.com/player/35642/ratchanok-intanon,396,176,903743,3,5,104,4,2,28,904461,403,183
Toby Ng,https://bwfbadminton.com/player/53930/toby-ng,10,14,0,75,62,4261,190,107,16830,21549,275,183
Tereza Švábíková,https://bwfbadminton.com/player/60397/tereza-%C5%A0vabikova,130,98,650,76,52,380,56,33,0,1475,262,183
Robin Tabeling,https://bwfbadminton.com/player/66357/robin-tabeling,2,1,0,107,96,17426,138,86,29555,47411,247,183
Evgenia Dimova,https://bwfbadminton.com/player/53676/evgenia-dimova,44,49,2023,13,16,913,157,118,28426,31759,214,183
Peter Zauner,https://bwfbadminton.com/player/14338/peter-zauner,25,39,0,174,131,9297,13,13,630,10322,212,183
Filipa Lamy,https://bwfbadminton.com/player/8762/filipa-lamy,71,82,1034,41,57,346,43,44,177,1895,155,183
Nick Ponting,https://bwfbadminton.com/player/445/nick-ponting,0,1,0,150,86,11067,177,95,29234,40810,327,182
